WOT-DATA,2
usa-A115_Chrysler_K,Chrysler K,#780
usa-A115_Chrysler_K_GF,Chrysler GF,#780
usa-A116_XM551,Sheridan,#780
usa-A117_T26E5,T26E5,#780
usa-A117_T26E5_FL,T26E5 FL,#780
usa-A117_T26E5_Patriot,T26E5 P,#780
usa-A118_M4_Thunderbolt,Thunderbolt,#780
usa-A12_T32,T32,#780
usa-A12_T32_FL,T32 FL,#780
usa-A120_M48A5,M48 Patton,#780
usa-A120_M48A5_IGR,M48 Patton,#780
usa-A121_M26_Cologne,Eagle 7,#780
usa-A122_TS-5,TS-5,#780
usa-A123_T78,T78,#780
usa-A124_T54E2,Renegade,#780
usa-A125_AEP_1,AE Phase I,#780
usa-A126_PzVI_Tiger_II_capt,King Tiger (C),#780
usa-A127_TL_1_LPC,TL-1 LPC,#780
usa-A128_concept_1b,Concept 1B,#780
usa-A129_T6_medium,T6 Medium,#780
usa-A13_T34_hvy,T34,#780
usa-A13_T34_hvy_BF,T34 B,#780
usa-A13_T34_hvy_FL,T34 FL,#780
usa-A13_T34_hvy_IGR,T34,#780
usa-A130_Super_Hellcat,Super Hellcat,#780
usa-A132_T77,T77,#780
usa-A134_M24E2_SuperChaffee,Super Chaffee,#780
usa-A136_T42,T42,#780
usa-A14_T30,T30,#780
usa-A15_T57,T57,#780
usa-A16_M7_Priest,M7 Priest,#780
usa-A17_M37,M37,#780
usa-A18_M41,M41 HMC,#780
usa-A19_T2_lt,T2 Light,#780
usa-A21_T14,T14,#780
usa-A22_M5_Stuart,M5 Stuart,#780
usa-A22_M5_Stuart_bootcamp,M5 Stuart,#780
usa-A23_M7_med,M7,#780
usa-A24_T2_med,T2 Medium,#780
usa-A24_T2_med_bot,T2 Medium,#780
usa-A25_M2_med,M2 Medium,#780
usa-A25_M2_med_bootcamp,M2 Medium,#780
usa-A26_T18,T18,#780
usa-A27_T82,T82 HMC,#780
usa-A29_T40,T40,#780
usa-A30_M10_Wolverine,Wolverine,#780
usa-A31_M36_Slagger,Jackson,#780
usa-A32_M12,M12,#780
usa-A33_MTLS-1G14,MTLS-1G14,#780
usa-A34_M24_Chaffee,Chaffee,#780
usa-A35_Pershing,Pershing,#780
usa-A35_Pershing_IGR,Pershing,#780
usa-A36_Sherman_Jumbo,M4A3E2,#780
usa-A36_Sherman_Jumbo_bootcamp,M4A3E2,#780
usa-A36_Sherman_Jumbo_IGR,M4A3E2,#780
usa-A37_M40M43,M40/M43,#780
usa-A38_T92,T92 HMC,#780
usa-A39_T28,T28,#780
usa-A40_T95,T95,#780
usa-A41_M18_Hellcat,Hellcat,#780
usa-A43_M22_Locust,Locust,#780
usa-A44_M4A2E4,M4A2E4,#780
usa-A45_M6A2E1,M6A2E1,#780
usa-A46_T3,T3 HMC,#780
usa-A57_M8A1,M8A1,#780
usa-A58_T67,T67,#780
usa-A58_T67_IGR,T67,#780
usa-A62_Ram-II,Ram II,#780
usa-A63_M46_Patton,M46 Patton,#780
usa-A63_M46_Patton_KR,M46 KR,#780
usa-A64_T25_AT,T25 AT,#780
usa-A66_M103,M103,#780
usa-A67_T57_58,T57 Heavy,#780
usa-A68_T28_Prototype,T28 Prot.,#780
usa-A69_T110E5,T110E5,#780
usa-A69_T110E5_bob,T110E5 BB,#780
usa-A71_T21,T21,#780
usa-A72_T25_2,T25/2,#780
usa-A72_T25_2_SH,Raven,#780
usa-A74_T1_E6,T1E6,#780
usa-A78_M4_Improved,M4 Improved,#780
usa-A80_T26_E4_SuperPershing,T26E4,#780
usa-A80_T26_E4_SuperPershing_FL,T26E4 FL,#780
usa-A81_T95_E2,T95E2,#780
usa-A83_T110E4,T110E4,#780
usa-A85_T110E3,T110E3,#780
usa-A86_T23E3,T23E3,#780
usa-A87_M44,M44,#780
usa-A88_M53_55,M53/M55,#780
usa-A89_T54E1,T54E1,#780
usa-A90_T69,T69,#780
usa-A90_T69_IGR,T69,#780
usa-A92_M60,M60,#780
usa-A93_T7_Combat_Car,T7 Car,#780
usa-A94_T37,T37,#780
usa-A95_T95_E6,T95E6,#780
usa-A97_M41_Bulldog,M41 Bulldog,#780
usa-A99_T92_LT,T92,#780
ussr-Observer,Zuschauer,#780
ussr-R01_IS,IS,#780
ussr-R02_SU-85,SU-85,#780
ussr-R03_BT-7,BT-7,#780
ussr-R03_BT-7_bootcamp,BT-7,#780
ussr-R04_T-34,T-34,#780
ussr-R05_KV,KV,#780
ussr-R06_T-28,T-28,#780
ussr-R06_T-28_bootcamp,T-28,#780
ussr-R07_T-34-85,T-34-85,#780
ussr-R07_T-34-85_bootcamp,T-34-85,#780
ussr-R07_T-34-85_training,T-34-85,#780
ussr-R08_BT-2,BT-2,#780
ussr-R08_BT-2_bootcamp,BT-2,#780
ussr-R09_T-26,T-26,#780
ussr-R09_T-26_bot,T-26,#780
ussr-R10_AT-1,AT-1,#780
ussr-R100_SU122A,SU-122A,#780
ussr-R101_MT25,MT-25,#780
ussr-R104_Object_430_II,Obj. 430 II,#780
ussr-R105_BT_7A,BT-7 Art.,#780
ussr-R106_KV85,KV-85,#780
ussr-R106_KV85_IGR,KV-85,#780
ussr-R107_LTB,LTTB,#780
ussr-R108_T34_85M,T-34-85M,#780
ussr-R109_T54S,T-54 lt.,#780
ussr-R11_MS-1,MS-1,#780
ussr-R11_MS-1_bot,MS-1,#780
ussr-R110_Object_260,Obj. 260,#780
ussr-R111_ISU130,ISU-130,#780
ussr-R112_T54_45,T-54 Mod. 1,#780
ussr-R112_T54_45_FL,T-54 Mod. 1 FL,#780
ussr-R113_Object_730,IS-5,#780
ussr-R114_Object_244,Obj. 244,#780
ussr-R115_IS-3_auto,IS-3A,#780
ussr-R115_IS-3_auto_test,IS-3A (T),#780
ussr-R116_ISU122C_Berlin,ISU-122S,#780
ussr-R117_T34_85_Rudy,Rudy UdSSR,#780
ussr-R118_T28_F30,T-28E F-30,#780
ussr-R119_Object_777,Obj. 777 II,#780
ussr-R119_Object_777C,Obj. 777 D,#780
ussr-R12_A-20,A-20,#780
ussr-R120_T22SR_A22,T-22 med.,#780
ussr-R121_KV4_KTT,KV-4 KTTS,#780
ussr-R122_T44_100,T-44-100,#780
ussr-R122_T44_100B,T-44-100 (B),#780
ussr-R123_Kirovets_1,Kirovets-1,#780
ussr-R125_T_45,T-45,#780
ussr-R126_Object_730_5,Obj. 268 5,#780
ussr-R127_T44_100_K,T-44-100 (K),#780
ussr-R127_T44_100_M,T-44-100 (M),#780
ussr-R127_T44_100_P,T-44-100 (R),#780
ussr-R127_T44_100_U,T-44-100 (U),#780
ussr-R128_KV4_Kreslavskiy,KV-4 Kresl.,#780
ussr-R129_Object_257,Obj. 257 PA,#780
ussr-R13_KV-1s,KV-1S,#780
ussr-R131_Tank_Gavalov,LTG,#780
ussr-R132_VNII_100LT,T-100 LT,#780
ussr-R133_KV_122,KV-122,#780
ussr-R134_Object_252K,Defender,#780
ussr-R134_Object_252U,Obj. 252U,#780
ussr-R135_T_103,T-103,#780
ussr-R139_IS_M,IS-M,#780
ussr-R14_SU-5,SU-5,#780
ussr-R140_M4_Loza,Lozas M4-A2,#780
ussr-R143_T_29,T-29,#780
ussr-R144_K_91,K-91,#780
ussr-R145_Object_705_A,Obj. 705A,#780
ussr-R146_STG,STG,#780
ussr-R146_STG_Tday,Garde,#780
ussr-R148_Object_430_U,Obj. 430U,#780
ussr-R149_Object_268_4,Obj. 268 4,#780
ussr-R15_S-51,S-51,#780
ussr-R151_Object_257_2,Obj. 257,#780
ussr-R152_KV2_W,KV-2 (R),#780
ussr-R153_Object_705,Obj. 705,#780
ussr-R154_T_34E_1943,T-34S,#780
ussr-R155_Object_277,Obj. 277,#780
ussr-R155_Object_277_bob,Obj. 277 BB,#780
ussr-R156_IS_2M,IS-2M,#780
ussr-R157_Object_279R,Obj. 279 (f),#780
ussr-R158_LT_432,LP-432,#780
ussr-R159_SU_130PM,SU-130PM,#780
ussr-R16_SU-18,SU-18,#780
ussr-R160_T_50_2,T-50-2,#780
ussr-R161_T_116,T-116,#780
ussr-R165_Object_703_II,703 II (122),#780
ussr-R165_Object_703_II_2,703 II (100),#780
ussr-R169_ST_II,ST-II,#780
ussr-R17_SU-100,SU-100,#780
ussr-R170_IS_2_II,IS-2-II,#780
ussr-R171_IS_3_II,IS-3-II,#780
ussr-R172_Object_752,Obj. 752,#780
ussr-R173_K_91_2,K-91-2,#780
ussr-R174_BT-5,BT-5,#780
ussr-R175_IS_2_screen,IS-2S,#780
ussr-R177_ISU_152K_BL10,ISU-152K,#780
ussr-R178_Object_780,Obj. 780,#780
ussr-R18_SU-152,SU-152,#780
ussr-R18_SU-152_IGR,SU-152,#780
ussr-R180_Object_274_A,Obj. 274a,#780
ussr-R183_K_91_PT,K-91-PT,#780
ussr-R19_IS-3,IS-3,#780
ussr-R19_IS-3_IGR,IS-3,#780
ussr-R20_T-44,T-44,#780
ussr-R20_T-44_FL,T-44 FL,#780
ussr-R20_T-44_IGR,T-44,#780
ussr-R22_T-46,T-46,#780
ussr-R22_T-46_bootcamp,T-46,#780
ussr-R23_T-43,T-43,#780
ussr-R24_SU-76,SU-76M,#780
ussr-R25_GAZ-74b,SU-85B,#780
ussr-R26_SU-8,SU-8,#780
ussr-R27_SU-14,SU-14-2,#780
ussr-R31_Valentine_LL,Valentine II,#780
ussr-R31_Valentine_LL_IGR,Valentine II,#780
ussr-R32_Matilda_II_LL,Matilda IV,#780
ussr-R33_Churchill_LL,Churchill III,#780
ussr-R34_BT-SV,BT-SV,#780
ussr-R38_KV-220,KV-220-2,#780
ussr-R38_KV-220_beta,KV-220-2 T,#780
ussr-R39_KV-3,KV-3,#780
ussr-R40_T-54,T-54,#780
ussr-R41_T-50,T-50,#780
ussr-R42_T-60,T-60,#780
ussr-R43_T-70,T-70,#780
ussr-R43_T-70_bootcamp,T-70,#780
ussr-R44_T80,T-80,#780
ussr-R45_IS-7,IS-7,#780
ussr-R45_IS-7_fallout,(R) IS-7,#780
ussr-R45_IS-7_IGR,IS-7,#780
ussr-R46_KV-13,KV-13,#780
ussr-R46_KV-13_SH,Warjag,#780
ussr-R47_ISU-152,ISU-152,#780
ussr-R47_ISU-152_IGR,ISU-152,#780
ussr-R49_SU100Y,SU-100Y,#780
ussr-R50_SU76I,SU-76I,#780
ussr-R50_SU76I_bootcamp,SU-76I,#780
ussr-R51_Object_212,212A,#780
ussr-R52_Object_261,Obj. 261,#780
ussr-R53_Object_704,Obj. 704,#780
ussr-R54_KV-5,KV-5,#780
ussr-R54_KV-5_IGR,KV-5,#780
ussr-R56_T-127,T-127,#780
ussr-R57_A43,A-43,#780
ussr-R58_SU-101,SU-101,#780
ussr-R59_A44,A-44,#780
ussr-R60_Object416,Obj. 416,#780
ussr-R61_Object252,IS-6,#780
ussr-R61_Object252_BF,IS-6 B,#780
ussr-R61_Object252_FL,IS-6 FL,#780
ussr-R63_ST_I,ST-I,#780
ussr-R66_SU-26,SU-26,#780
ussr-R67_M3_LL,M3 Light,#780
ussr-R68_A-32,A-32,#780
ussr-R70_T_50_2,T-50-2,#780
ussr-R71_IS_2B,IS-2,#780
ussr-R72_T150,T-150,#780
ussr-R73_KV4,KV-4,#780
ussr-R74_SU100M1,SU-100M1,#780
ussr-R75_SU122_54,SU-122-54,#780
ussr-R77_KV2,KV-2,#780
ussr-R77_KV2_IGR,KV-2,#780
ussr-R78_SU_85I,SU-85I,#780
ussr-R80_KV1,KV-1,#780
ussr-R81_IS8,T-10,#780
ussr-R84_Tetrarch_LL,Tetrarch,#780
ussr-R86_LTP,LTP,#780
ussr-R86_LTP_bootcamp,LTP,#780
ussr-R87_T62A,T-62A,#780
ussr-R87_T62A_fallout,(R) T-62A,#780
ussr-R88_Object268,Obj. 268,#780
ussr-R89_SU122_44,SU-122-44,#780
ussr-R90_IS_4M,IS-4,#780
ussr-R91_SU14_1,SU-14-1,#780
ussr-R93_Object263,Obj. 263,#780
ussr-R93_Object263B,Obj. 263B,#780
ussr-R95_Object_907,Obj. 907,#780
ussr-R95_Object_907A,Obj. 907A,#780
ussr-R96_Object_430,Obj. 430,#780
ussr-R96_Object_430B,Obj. 430B,#780
ussr-R97_Object_140,Obj. 140,#780
ussr-R98_T44_85,T-44-85,#780
ussr-R98_T44_85M,T-44 lt.,#780
ussr-R99_T44_122,T-44-122,#780
