WOT-DATA,2
{{ID}},TopTurretBase
{{EN}},Base visibility with top turret.
{{RU}},Базовый обзор из топ башни.
ussr-R146_STG_Tday,370,#606
ussr-R148_Object_430_U,400,#606
ussr-R149_Object_268_4,370,#606
ussr-R15_S-51,275,#606
ussr-R151_Object_257_2,390,#606
ussr-R152_KV2_W,330,#606
ussr-R153_Object_705,380,#606
ussr-R154_T_34E_1943,340,#606
ussr-R155_Object_277,400,#606
ussr-R156_IS_2M,350,#606
ussr-R157_Object_279R,400,#606
ussr-R158_LT_432,380,#606
ussr-R159_SU_130PM,360,#606
ussr-R16_SU-18,260,#606
ussr-R160_T_50_2,370,#606
ussr-R161_T_116,320,#606
ussr-R165_Object_703_II,350,#606
ussr-R165_Object_703_II_2,350,#606
ussr-R169_ST_II,390,#606
ussr-R17_SU-100,350,#606
ussr-R170_IS_2_II,350,#606
ussr-R171_IS_3_II,380,#606
ussr-R172_Object_752,380,#606
ussr-R173_K_91_2,380,#606
ussr-R174_BT-5,300,#606
ussr-R175_IS_2_screen,340,#606
ussr-R177_ISU_152K_BL10,350,#606
ussr-R178_Object_780,400,#606
ussr-R18_SU-152,330,#606
ussr-R18_SU-152_IGR,330,#606
ussr-R180_Object_274_A,390,#606
ussr-R19_IS-3,350,#606
ussr-R19_IS-3_IGR,350,#606
ussr-R20_T-44,380,#606
ussr-R20_T-44_FL,380,#606
ussr-R20_T-44_IGR,380,#606
ussr-R22_T-46,310,#606
ussr-R22_T-46_bootcamp,260,#606
ussr-R23_T-43,370,#606
ussr-R24_SU-76,310,#606
ussr-R25_GAZ-74b,310,#606
ussr-R26_SU-8,260,#606
ussr-R27_SU-14,260,#606
ussr-R31_Valentine_LL,350,#606
ussr-R31_Valentine_LL_IGR,350,#606
ussr-R32_Matilda_II_LL,350,#606
ussr-R33_Churchill_LL,350,#606
ussr-R34_BT-SV,280,#606
ussr-R38_KV-220,310,#606
ussr-R38_KV-220_beta,310,#606
ussr-R39_KV-3,340,#606
ussr-R40_T-54,390,#606
ussr-R41_T-50,350,#606
ussr-R42_T-60,300,#606
ussr-R43_T-70,310,#606
ussr-R43_T-70_bootcamp,300,#606
ussr-R44_T80,330,#606
ussr-R45_IS-7,400,#606
ussr-R45_IS-7_fallout,400,#606
ussr-R45_IS-7_IGR,400,#606
ussr-R46_KV-13,360,#606
ussr-R46_KV-13_SH,330,#606
ussr-R47_ISU-152,350,#606
ussr-R47_ISU-152_IGR,350,#606
ussr-R49_SU100Y,350,#606
ussr-R50_SU76I,300,#606
ussr-R50_SU76I_bootcamp,300,#606
ussr-R51_Object_212,270,#606
ussr-R52_Object_261,300,#606
ussr-R53_Object_704,360,#606
ussr-R54_KV-5,350,#606
ussr-R54_KV-5_IGR,350,#606
ussr-R56_T-127,320,#606
ussr-R57_A43,360,#606
ussr-R58_SU-101,350,#606
ussr-R59_A44,370,#606
ussr-R60_Object416,380,#606
ussr-R61_Object252,350,#606
ussr-R61_Object252_BF,350,#606
ussr-R61_Object252_FL,350,#606
ussr-R63_ST_I,380,#606
ussr-R66_SU-26,260,#606
ussr-R67_M3_LL,280,#606
ussr-R68_A-32,320,#606
ussr-R70_T_50_2,330,#606
ussr-R71_IS_2B,350,#606
ussr-R72_T150,330,#606
ussr-R73_KV4,350,#606
ussr-R74_SU100M1,350,#606
ussr-R75_SU122_54,370,#606
ussr-R77_KV2,330,#606
ussr-R77_KV2_IGR,330,#606
ussr-R78_SU_85I,330,#606
ussr-R80_KV1,310,#606
ussr-R81_IS8,400,#606
ussr-R84_Tetrarch_LL,260,#606
ussr-R86_LTP,310,#606
ussr-R86_LTP_bootcamp,390,#606
ussr-R87_T62A,400,#606
ussr-R87_T62A_fallout,400,#606
ussr-R88_Object268,370,#606
ussr-R89_SU122_44,330,#606
ussr-R90_IS_4M,400,#606
ussr-R91_SU14_1,260,#606
ussr-R93_Object263,360,#606
ussr-R93_Object263B,390,#606
ussr-R95_Object_907,400,#606
ussr-R95_Object_907A,400,#606
ussr-R96_Object_430,380,#606
ussr-R96_Object_430B,400,#606
ussr-R97_Object_140,400,#606
ussr-R97_Object_140_bob,400,#606
ussr-R98_T44_85,370,#606
ussr-R98_T44_85M,390,#606
ussr-R99_T44_122,380,#606
