WOT-DATA,2
{{ID}},MaxDamage,MaxPenetration,MaxPenetrationDamage,TopGunReloadTime
{{EN}},Damage using the best gun/shell (except premium shells).,Penetration using the best gun/shell (except premium shells).,Damage using the most penetrating gun/shell (except premium shells).,Top gun reload time.
{{RU}},Урон лучшей пушкой/снарядом (кроме голды).,Пробитие лучшей пушкой/снарядом (кроме голды).,Урон пушкой/снарядом с лучшим пробитием (кроме голды).,Время перезарядки топового орудия.
uk-GB103_GSOR3301_AVR_FS,320,258,230,9.5,#1167
uk-GB104_GSR_3301_Setter,175,220,135,6,#1167
uk-GB105_Black_Prince_2019,190,239,150,5.3,#1167
uk-GB106_Cobra,515,268,360,60,#1167
uk-GB107_Cavalier,370,180,75,3.3,#1167
uk-GB107_Cavalier_SH,490,370,220,6.25,#1167
uk-GB108_A46,150,138,105,4.2,#1167
uk-GB109_GSOR_1008,420,321,320,45,#1167
uk-GB11_Caernarvon,370,252,280,6.5,#1167
uk-GB11_Caernarvon_IGR,280,258,230,7.8,#1167
uk-GB111_Charlemagne,530,270,440,16.7,#1167
uk-GB112_Caliban,850,292,600,25,#1167
uk-GB113_Matilda_LVT,175,144,110,5,#1167
uk-GB12_Conqueror,515,326,400,11.3,#1167
uk-GB12_Conqueror_FL,515,326,400,11.3,#1167
uk-GB13_FV215b,515,326,400,8.7,#1167
uk-GB13_FV215b_IGR,515,326,400,8.7,#1167
uk-GB14_M2,50,70,40,2.6,#1167
uk-GB15_Stuart_I,60,121,45,2.5,#1167
uk-GB17_Grant_I,175,170,75,3,#1167
uk-GB19_Sherman_Firefly,410,239,150,4.7,#1167
uk-GB19_Sherman_Firefly_MapsTraining_Dummy_MT_2,120,140,120,4.7,#1167
uk-GB20_Crusader,175,180,75,2.2,#1167
uk-GB21_Cromwell,370,202,135,3.9,#1167
uk-GB21_Cromwell_IGR,175,202,135,3.9,#1167
uk-GB22_Comet,370,208,140,3.9,#1167
uk-GB23_Centurion,280,258,230,7.5,#1167
uk-GB23_Centurion_IGR,280,258,230,7.5,#1167
uk-GB24_Centurion_Mk3,480,268,390,11.2,#1167
uk-GB25_Loyd_Gun_Carriage,165,21,165,9,#1167
uk-GB26_Birch_Gun,280,22,280,9.6,#1167
uk-GB27_Sexton,280,22,280,12,#1167
uk-GB28_Bishop,450,28,450,12.9,#1167
uk-GB29_Crusader_5inch,650,212,400,29,#1167
uk-GB30_FV3805,1000,306,560,37,#1167
uk-GB31_Conqueror_Gun,1350,370,720,46,#1167
uk-GB32_Tortoise,515,326,400,7.1,#1167
uk-GB33_Sentinel_AC_I,60,121,45,2.07,#1167
uk-GB35_Sentinel_AC_IV,190,239,150,5,#1167
uk-GB37_Valliant,175,144,110,4.2,#1167
uk-GB39_Universal_CarrierQF2,95,121,45,3.1,#1167
uk-GB40_Gun_Carrier_Churchill,370,252,280,9.5,#1167
uk-GB41_Challenger,370,252,280,7.8,#1167
uk-GB42_Valentine_AT,370,180,75,8,#1167
uk-GB44_Archer,190,239,150,4.7,#1167
uk-GB45_Achilles_IIC,190,239,150,4.4,#1167
uk-GB48_FV215b_183,1750,310,1150,30,#1167
uk-GB50_Sherman_III,410,180,75,4.6,#1167
uk-GB51_Excelsior,175,144,110,3.8,#1167
uk-GB52_A45,190,239,150,4.3,#1167
uk-GB57_Alecto,370,180,75,5.7,#1167
uk-GB58_Cruiser_Mk_III,60,121,45,9,#1167
uk-GB59_Cruiser_Mk_IV,75,121,45,7,#1167
uk-GB60_Covenanter,175,121,50,4,#1167
uk-GB63_TOG_II,190,239,150,5,#1167
uk-GB68_Matilda_Black_Prince,100,180,75,2.3,#1167
uk-GB69_Cruiser_Mk_II,60,71,45,11,#1167
uk-GB70_FV4202_105,480,268,390,8.6,#1167
uk-GB70_N_FV4202_105,280,258,230,8,#1167
uk-GB70_N_FV4202_105_FL,280,258,230,8,#1167
uk-GB71_AT_15A,190,239,150,4.3,#1167
uk-GB72_AT15,370,258,230,5,#1167
uk-GB72_AT15_IGR,280,258,230,5,#1167
uk-GB73_AT2,370,180,75,2.3,#1167
uk-GB74_AT8,190,239,150,4.3,#1167
uk-GB75_AT7,280,258,230,6.2,#1167
uk-GB76_Mk_VIC,9,27,9,18,#1167
uk-GB77_FV304,450,28,450,13.5,#1167
uk-GB77_FV304_IGR,450,28,450,13.5,#1167
uk-GB78_Sexton_I,280,92,180,10.8,#1167
uk-GB79_FV206,800,254,480,30,#1167
uk-GB80_Charioteer,480,268,390,10.1,#1167
uk-GB81_FV4004,770,326,400,14.4,#1167
uk-GB83_FV4005,1750,310,1150,30,#1167
uk-GB84_Chieftain_Mk6,515,310,400,8.25,#1167
uk-GB85_Cromwell_Berlin,175,202,135,3.9,#1167
uk-GB86_Centurion_Action_X,480,330,390,8.6,#1167
uk-GB87_Chieftain_T95_turret,320,238,240,7.5,#1167
uk-GB88_T95_Chieftain_turret,515,310,400,9,#1167
uk-GB91_Super_Conqueror,515,326,400,8.7,#1167
uk-GB92_FV217,620,320,480,8.5,#1167
uk-GB93_Caernarvon_AX,280,258,230,5.9,#1167
uk-GB94_Centurion_Mk5-1_RAAC,280,258,230,7.5,#1167
uk-GB95_Ekins_Firefly_M4A4,190,239,150,4.5,#1167
uk-GB96_Excalibur,190,192,150,4.5,#1167
uk-GB97_Chimera,530,252,440,15.5,#1167
uk-GB98_T95_FV4201_Chieftain,530,322,440,10.5,#1167
uk-GB99_Turtle_Mk1,430,253,330,6.8,#1167
usa-A01_T1_Cunningham,36,53,30,8,#1167
usa-A01_T1_Cunningham_bot,6,28,6,2.5,#1167
usa-A02_M2_lt,50,70,40,7.7,#1167
usa-A03_M3_Stuart,50,78,40,2.3,#1167
usa-A03_M3_Stuart_bootcamp,12,41,12,7.7,#1167
usa-A04_M3_Grant,175,127,110,3,#1167
usa-A05_M4_Sherman,410,177,115,4.8,#1167
usa-A05_M4_Sherman_IGR,185,177,115,4.8,#1167
usa-A06_M4A3E8_Sherman,410,177,115,3.3,#1167
usa-A06_M4A3E8_Sherman_training,115,120,115,5,#1167
usa-A07_T20,410,243,240,9.4,#1167
usa-A08_T23,8,27,8,1.5,#1167
usa-A09_T1_hvy,185,177,115,3.6,#1167
usa-A10_M6,320,243,240,7.6,#1167
usa-A100_T49,910,250,240,23,#1167
usa-A101_M56,320,275,240,7.8,#1167
usa-A102_T28_concept,420,224,320,10,#1167
usa-A103_T71E1,185,210,150,20,#1167
usa-A103_T71E1_IGR,185,210,150,20,#1167
usa-A104_M4A3E8A,185,177,115,3.3,#1167
usa-A106_M48A2_120,515,340,400,9,#1167
usa-A107_T1_HMC,175,19,175,9,#1167
usa-A108_T18_HMC,175,19,175,7,#1167
usa-A109_T56_GMC,175,180,75,4,#1167
usa-A11_T29,420,245,320,11.4,#1167
usa-A11_T29_IGR,420,245,320,11.4,#1167
usa-A111_T25_Pilot,320,243,240,7.8,#1167
usa-A112_T71E2,185,210,150,4.3,#1167
usa-A112_T71E2R,185,210,150,4.5,#1167
usa-A115_Chrysler_K,420,260,320,10.1,#1167
usa-A115_Chrysler_K_GF,420,260,320,10.1,#1167
usa-A116_XM551,910,280,390,20,#1167
usa-A117_T26E5,320,259,240,7.2,#1167
usa-A117_T26E5_FL,320,259,240,7.2,#1167
usa-A117_T26E5_Patriot,320,259,240,7.2,#1167
usa-A118_M4_Thunderbolt,185,177,115,3.6,#1167
usa-A12_T32,420,258,240,9.4,#1167
usa-A12_T32_FL,420,245,320,9.4,#1167
usa-A120_M48A5,480,330,390,8.35,#1167
usa-A120_M48A5_IGR,480,330,390,8.35,#1167
usa-A121_M26_Cologne,320,207,240,8.6,#1167
usa-A122_TS-5,515,300,400,8.5,#1167
usa-A123_T78,320,221,240,8.3,#1167
usa-A124_T54E2,440,255,360,10.2,#1167
usa-A125_AEP_1,515,340,400,11,#1167
usa-A126_PzVI_Tiger_II_capt,295,237,240,8.5,#1167
usa-A127_TL_1_LPC,370,280,280,8.8,#1167
usa-A128_concept_1b,515,310,400,11,#1167
usa-A129_T6_medium,410,127,110,13.5,#1167
usa-A129_T6_medium_MapsTraining_Dummy_MT_1,175,60,175,4.6,#1167
usa-A13_T34_hvy,515,297,400,15,#1167
usa-A13_T34_hvy_BF,515,297,400,15,#1167
usa-A13_T34_hvy_FL,515,297,400,15,#1167
usa-A13_T34_hvy_IGR,515,297,400,15,#1167
usa-A130_Super_Hellcat,320,210,240,8,#1167
usa-A132_T77,460,299,360,40,#1167
usa-A134_M24E2_SuperChaffee,185,155,115,4.5,#1167
usa-A136_T42,370,268,280,9.1,#1167
usa-A139_M_III_Y,420,290,240,8.9,#1167
usa-A14_T30,950,320,750,21,#1167
usa-A14_T30_FL,950,320,750,21,#1167
usa-A140_ASTRON_REX_105mm,420,250,320,34,#1167
usa-A141_M_IV_Y,440,250,360,11.3,#1167
usa-A142_Pawlack_Tank,320,205,240,9,#1167
usa-A143_M_V_Y,530,315,360,11,#1167
usa-A144_M_VI_Y,515,315,320,11.4,#1167
usa-A147_M_II_Y,320,242,240,8.8,#1167
usa-A148_Convertible_Medium_Tank_T3,50,70,40,15,#1167
usa-A149_AMBT,420,278,360,15,#1167
usa-A15_T57,8,27,8,9.4,#1167
usa-A16_M7_Priest,410,27,410,20,#1167
usa-A17_M37,410,27,410,15,#1167
usa-A18_M41,600,150,360,25,#1167
usa-A19_T2_lt,12,41,12,7.66,#1167
usa-A21_T14,175,127,110,3.81,#1167
usa-A21_T14_MapsTraining_Player_HT_1,110,125,110,3.81,#1167
usa-A22_M5_Stuart,50,78,40,7.2,#1167
usa-A22_M5_Stuart_bootcamp,50,78,40,2.3,#1167
usa-A23_M7_med,175,170,75,3,#1167
usa-A24_T2_med,50,70,40,7.3,#1167
usa-A24_T2_med_bot,15,33,15,5.7,#1167
usa-A25_M2_med,175,92,110,2.3,#1167
usa-A25_M2_med_bootcamp,50,70,40,2.5,#1167
usa-A26_T18,8,27,8,2.1,#1167
usa-A27_T82,410,27,410,13,#1167
usa-A29_T40,410,180,75,3.7,#1167
usa-A30_M10_Wolverine,410,177,115,3.2,#1167
usa-A31_M36_Slagger,320,243,240,8,#1167
usa-A32_M12,750,218,420,27.7,#1167
usa-A33_MTLS-1G14,50,92,40,4.6,#1167
usa-A34_M24_Chaffee,175,143,110,4.4,#1167
usa-A35_Pershing,410,268,240,8.2,#1167
usa-A35_Pershing_IGR,320,268,240,8.2,#1167
usa-A36_Sherman_Jumbo,410,177,115,3.3,#1167
usa-A36_Sherman_Jumbo_bootcamp,175,127,110,3.8,#1167
usa-A36_Sherman_Jumbo_IGR,185,177,115,3.3,#1167
usa-A37_M40M43,1100,272,600,46,#1167
usa-A38_T92,1420,372,750,49,#1167
usa-A39_T28,515,297,400,9.1,#1167
usa-A40_T95,950,320,750,18.3,#1167
usa-A41_M18_Hellcat,320,243,240,8.5,#1167
usa-A43_M22_Locust,50,78,40,2.29,#1167
usa-A44_M4A2E4,175,127,110,3.81,#1167
usa-A45_M6A2E1,420,245,320,11.89,#1167
usa-A46_T3,175,121,45,2.5,#1167
usa-A57_M8A1,175,180,75,4.2,#1167
usa-A58_T67,185,180,75,3.2,#1167
usa-A58_T67_IGR,185,177,115,3.2,#1167
usa-A62_Ram-II,75,170,75,2.29,#1167
usa-A63_M46_Patton,480,268,240,9,#1167
usa-A63_M46_Patton_FL,480,265,390,9,#1167
usa-A63_M46_Patton_KR,320,243,240,7.4,#1167
usa-A64_T25_AT,420,258,240,9.1,#1167
usa-A66_M103,515,340,400,10,#1167
usa-A67_T57_58,515,340,400,25,#1167
usa-A68_T28_Prototype,515,297,400,10.1,#1167
usa-A69_T110E5,515,340,400,8.8,#1167
usa-A69_T110E5_bob,515,340,400,8.8,#1167
usa-A69_T110E5_cl,515,340,400,8.8,#1167
usa-A71_T21,185,177,115,4.2,#1167
usa-A71_T21_MapsTraining_Dummy_LT_2,90,90,90,4.2,#1167
usa-A72_T25_2,320,258,240,7.7,#1167
usa-A72_T25_2_SH,480,370,280,6,#1167
usa-A74_T1_E6,36,53,30,5,#1167
usa-A78_M4_Improved,175,127,110,4,#1167
usa-A80_T26_E4_SuperPershing,320,258,240,8,#1167
usa-A80_T26_E4_SuperPershing_FL,320,258,240,8,#1167
usa-A81_T95_E2,320,250,240,7.5,#1167
usa-A83_T110E4,1100,375,750,19.5,#1167
usa-A85_T110E3,1100,375,750,17,#1167
usa-A86_T23E3,185,190,115,3.3,#1167
usa-A87_M44,600,182,360,22,#1167
usa-A88_M53_55,1100,314,600,42,#1167
usa-A89_T54E1,390,310,390,36,#1167
usa-A90_T69,320,250,240,27,#1167
usa-A90_T69_IGR,320,250,240,27,#1167
usa-A92_M60,480,350,390,8.8,#1167
usa-A93_T7_Combat_Car,8,27,8,24,#1167
usa-A94_T37,185,160,115,3.7,#1167
usa-A95_T95_E6,515,340,400,8,#1167
usa-A97_M41_Bulldog,260,210,170,5,#1167
usa-A99_T92_LT,185,230,150,4.5,#1167
ussr-Observer,30,34,30,2.5,#1167
ussr-R01_IS,530,235,250,12.3,#1167
ussr-R02_SU-85,450,194,180,6,#1167
ussr-R03_BT-7,62,92,40,1.8,#1167
ussr-R03_BT-7_bootcamp,62,88,47,2.3,#1167
ussr-R04_T-34,165,189,85,2.3,#1167
ussr-R04_T-34_MapsTraining_Player_MT_1,115,125,115,5,#1167
ussr-R05_KV,156,102,110,4.3,#1167
ussr-R06_T-28,164,189,85,2.7,#1167
ussr-R06_T-28_bootcamp,164,75,110,4.6,#1167
ussr-R07_T-34-85,450,194,180,6,#1167
ussr-R07_T-34-85_bootcamp,165,156,110,4.1,#1167
ussr-R07_T-34-85_training,160,126,160,5,#1167
ussr-R08_BT-2,62,88,47,2.3,#1167
ussr-R08_BT-2_bootcamp,40,64,36,2.5,#1167
ussr-R09_T-26,62,92,40,2.3,#1167
ussr-R09_T-26_bot,18,40,18,2.3,#1167
ussr-R10_AT-1,164,112,75,3.1,#1167
ussr-R100_SU122A,650,160,380,31.6,#1167
ussr-R101_MT25,165,160,85,4.5,#1167
ussr-R104_Object_430_II,420,330,320,7.5,#1167
ussr-R105_BT_7A,164,38,164,4.8,#1167
ussr-R106_KV85,530,217,390,20,#1167
ussr-R106_KV85_IGR,330,210,250,7.6,#1167
ussr-R107_LTB,300,216,180,5.4,#1167
ussr-R108_T34_85M,300,194,180,5.2,#1167
ussr-R109_T54S,330,235,250,7.2,#1167
ussr-R11_MS-1,62,88,47,2.9,#1167
ussr-R11_MS-1_bot,5,34,5,2.5,#1167
ussr-R110_Object_260,530,340,440,11,#1167
ussr-R111_ISU130,640,238,490,10.3,#1167
ussr-R112_T54_45,330,247,250,8,#1167
ussr-R112_T54_45_FL,330,247,250,8,#1167
ussr-R113_Object_730,530,270,390,12.6,#1167
ussr-R114_Object_244,300,194,180,5.7,#1167
ussr-R115_IS-3_auto,530,270,390,11,#1167
ussr-R115_IS-3_auto_test,530,270,390,11,#1167
ussr-R116_ISU122C_Berlin,530,217,390,7.4,#1167
ussr-R117_T34_85_Rudy,300,194,180,6,#1167
ussr-R118_T28_F30,280,161,160,5.49,#1167
ussr-R119_Object_777,530,340,440,13.9,#1167
ussr-R119_Object_777C,530,340,440,12.3,#1167
ussr-R12_A-20,156,110,55,4.2,#1167
ussr-R120_T22SR_A22,420,330,320,7.5,#1167
ussr-R121_KV4_KTT,420,289,320,8.4,#1167
ussr-R122_T44_100,330,247,250,7.5,#1167
ussr-R122_T44_100B,156,102,110,7.5,#1167
ussr-R123_Kirovets_1,530,270,390,13,#1167
ussr-R125_T_45,62,84,47,3.6,#1167
ussr-R126_Object_730_5,1100,395,750,19.6,#1167
ussr-R127_T44_100_I,330,247,250,7.5,#1167
ussr-R127_T44_100_K,156,102,110,7.5,#1167
ussr-R127_T44_100_M,156,102,110,7.5,#1167
ussr-R127_T44_100_P,156,102,110,7.5,#1167
ussr-R127_T44_100_U,156,102,110,7.5,#1167
ussr-R128_KV4_Kreslavskiy,420,289,320,11.3,#1167
ussr-R129_Object_257,530,340,440,11.9,#1167
ussr-R13_KV-1s,450,196,160,4.6,#1167
ussr-R131_Tank_Gavalov,300,194,180,6,#1167
ussr-R132_VNII_100LT,360,248,300,7.8,#1167
ussr-R133_KV_122,530,217,390,13.3,#1167
ussr-R134_Object_252K,530,265,440,15,#1167
ussr-R134_Object_252U,530,265,440,15,#1167
ussr-R135_T_103,580,307,440,11.2,#1167
ussr-R139_IS_M,530,240,390,11.7,#1167
ussr-R14_SU-5,450,100,300,17,#1167
ussr-R14_SU-5_MapsTraining_Dummy_SPG_1,200,35,200,10,#1167
ussr-R140_M4_Loza,185,177,115,3.3,#1167
ussr-R143_T_29,164,75,110,4.68,#1167
ussr-R144_K_91,420,330,320,6.3,#1167
ussr-R145_Object_705_A,840,317,650,18.1,#1167
ussr-R146_STG,530,248,390,13,#1167
ussr-R146_STG_Tday,530,248,390,13,#1167
ussr-R148_Object_430_U,530,340,440,10.2,#1167
ussr-R149_Object_268_4,840,360,650,17,#1167
ussr-R15_S-51,1200,258,600,52.3,#1167
ussr-R151_Object_257_2,530,315,440,13,#1167
ussr-R152_KV2_W,910,136,700,24,#1167
ussr-R153_Object_705,640,315,440,14.7,#1167
ussr-R154_T_34E_1943,156,150,110,4,#1167
ussr-R155_Object_277,640,340,490,12.5,#1167
ussr-R155_Object_277_bob,640,340,490,12.5,#1167
ussr-R156_IS_2M,530,217,390,12.3,#1167
ussr-R157_Object_279R,530,340,440,10.5,#1167
ussr-R158_LT_432,300,218,180,5.2,#1167
ussr-R159_SU_130PM,660,320,520,13.6,#1167
ussr-R16_SU-18,180,21,180,8,#1167
ussr-R160_T_50_2,95,165,85,3,#1167
ussr-R161_T_116,62,84,47,2.3,#1167
ussr-R165_Object_703_II,530,270,390,12.5,#1167
ussr-R165_Object_703_II_2,360,256,300,8.5,#1167
ussr-R169_ST_II,530,310,440,11.73,#1167
ussr-R17_SU-100,530,235,250,12.8,#1167
ussr-R170_IS_2_II,360,256,300,8.5,#1167
ussr-R171_IS_3_II,530,292,390,10.5,#1167
ussr-R172_Object_752,530,318,390,34,#1167
ussr-R173_K_91_2,330,290,250,7.5,#1167
ussr-R174_BT-5,62,90,47,2.3,#1167
ussr-R175_IS_2_screen,530,217,390,12.3,#1167
ussr-R177_ISU_152K_BL10,950,329,750,19,#1167
ussr-R178_Object_780,640,305,530,14,#1167
ussr-R18_SU-152,910,250,700,7.4,#1167
ussr-R18_SU-152_IGR,530,217,390,7.4,#1167
ussr-R180_Object_274_A,420,289,320,9,#1167
ussr-R183_K_91_PT,530,315,390,8.6,#1167
ussr-R185_T_34_L_11_1941,164,98,110,7,#1167
ussr-R186_KV_1_Screened,164,150,110,4,#1167
ussr-R187_Object_590,420,268,320,9,#1167
ussr-R19_IS-3,530,265,390,13.3,#1167
ussr-R19_IS-3_IGR,530,265,390,13.3,#1167
ussr-R192_K_2,530,270,390,15,#1167
ussr-R193_M4A2_T_34,280,196,160,7,#1167
ussr-R195_T34M_54,300,210,180,6.7,#1167
ussr-R20_T-44,530,247,250,15.2,#1167
ussr-R20_T-44_FL,330,247,250,7.5,#1167
ussr-R20_T-44_IGR,330,235,250,8.1,#1167
ussr-R22_T-46,164,110,55,4.6,#1167
ussr-R22_T-46_bootcamp,62,88,47,2.3,#1167
ussr-R23_T-43,450,194,180,5.4,#1167
ussr-R23_T-43_MapsTraining_Player_MT_2,180,144,180,5.4,#1167
ussr-R24_SU-76,156,189,85,3.2,#1167
ussr-R25_GAZ-74b,280,189,85,4.5,#1167
ussr-R26_SU-8,650,182,380,20.5,#1167
ussr-R27_SU-14,1200,258,600,44,#1167
ussr-R31_Valentine_LL,62,84,47,2.28571428571429,#1167
ussr-R31_Valentine_LL_IGR,62,84,47,2.28571428571429,#1167
ussr-R32_Matilda_II_LL,156,102,110,3.71428571428571,#1167
ussr-R33_Churchill_LL,75,180,75,2.28571428571429,#1167
ussr-R34_BT-SV,62,84,47,2.28571428571429,#1167
ussr-R38_KV-220,156,121,110,4.28571428571429,#1167
ussr-R38_KV-220_beta,156,121,110,4.28571428571429,#1167
ussr-R39_KV-3,530,235,250,12.3,#1167
ussr-R40_T-54,420,330,320,7.4,#1167
ussr-R40_T-54_FL,420,330,320,7.4,#1167
ussr-R41_T-50,85,130,70,2.3,#1167
ussr-R42_T-60,50,92,40,2.7,#1167
ussr-R43_T-70,65,110,55,2.5,#1167
ussr-R43_T-70_bootcamp,62,88,47,2.4,#1167
ussr-R44_T80,65,110,55,4.2,#1167
ussr-R44_T80_MapsTraining_Dummy_LT_1,40,70,40,4.2,#1167
ussr-R45_IS-7,640,303,490,13.7,#1167
ussr-R45_IS-7_fallout,640,303,490,13.7,#1167
ussr-R45_IS-7_IGR,640,303,490,13.7,#1167
ussr-R46_KV-13,450,194,180,5.7,#1167
ussr-R46_KV-13_SH,650,300,320,10,#1167
ussr-R47_ISU-152,950,292,750,17.6,#1167
ussr-R47_ISU-152_IGR,950,329,750,17.6,#1167
ussr-R49_SU100Y,580,196,440,16,#1167
ussr-R50_SU76I,156,102,110,3.87,#1167
ussr-R50_SU76I_bootcamp,156,102,110,4.3,#1167
ussr-R51_Object_212,1200,258,600,39,#1167
ussr-R52_Object_261,1000,334,520,32,#1167
ussr-R53_Object_704,950,329,750,17.1,#1167
ussr-R54_KV-5,360,219,300,8.57142857142857,#1167
ussr-R54_KV-5_IGR,360,219,300,8.57142857142857,#1167
ussr-R56_T-127,62,84,47,2.28571428571429,#1167
ussr-R57_A43,165,189,85,2.3,#1167
ussr-R58_SU-101,530,340,440,12.6,#1167
ussr-R59_A44,360,219,300,10.5,#1167
ussr-R60_Object416,420,330,320,8,#1167
ussr-R61_Object252,530,225,390,11.7,#1167
ussr-R61_Object252_BF,530,225,390,11.7,#1167
ussr-R61_Object252_FL,530,225,390,11.7,#1167
ussr-R63_ST_I,530,340,440,12.7,#1167
ussr-R66_SU-26,180,21,180,7,#1167
ussr-R67_M3_LL,50,70,40,2.5,#1167
ussr-R68_A-32,164,98,110,4.1,#1167
ussr-R70_T_50_2,62,88,47,2.3,#1167
ussr-R71_IS_2B,530,217,390,12.3,#1167
ussr-R72_T150,450,219,300,10.2,#1167
ussr-R72_T150_MapsTraining_Dummy_HT_2,200,160,200,10.2,#1167
ussr-R73_KV4,530,289,320,9,#1167
ussr-R74_SU100M1,330,258,250,7.1,#1167
ussr-R75_SU122_54,530,270,390,9.7,#1167
ussr-R77_KV2,910,219,300,9.7,#1167
ussr-R77_KV2_IGR,910,136,700,24,#1167
ussr-R78_SU_85I,280,161,160,4.5,#1167
ussr-R80_KV1,450,189,85,5,#1167
ussr-R81_IS8,530,340,440,12.3,#1167
ussr-R84_Tetrarch_LL,60,121,45,2.85714285714286,#1167
ussr-R86_LTP,62,84,47,2.4,#1167
ussr-R86_LTP_bootcamp,62,84,47,5,#1167
ussr-R87_T62A,420,330,320,6.6,#1167
ussr-R87_T62A_fallout,420,330,320,6.6,#1167
ussr-R88_Object268,1100,395,750,16.5,#1167
ussr-R89_SU122_44,530,217,390,8,#1167
ussr-R90_IS_4M,530,340,440,11.5,#1167
ussr-R91_SU14_1,1200,258,600,53.2,#1167
ussr-R93_Object263,750,340,440,15.3,#1167
ussr-R93_Object263B,530,270,390,10.7,#1167
ussr-R95_Object_907,420,330,320,6.5,#1167
ussr-R95_Object_907A,420,330,320,6.5,#1167
ussr-R96_Object_430,530,270,390,9.7,#1167
ussr-R96_Object_430B,530,270,390,6.4,#1167
ussr-R97_Object_140,420,330,320,6.6,#1167
ussr-R97_Object_140_cl,420,330,320,6.6,#1167
ussr-R98_T44_85,300,210,200,6.3,#1167
ussr-R98_T44_85M,300,210,180,4.8,#1167
ussr-R99_T44_122,530,217,390,16,#1167
