WOT-DATA,2
{{ID}},Forward,Reverse
{{EN}},Maximum forward speed.,Maximum reverse speed.
{{RU}},Максимальная скорость вперед.,Максимальная скорость назад.
usa-A22_M5_Stuart,"64,4",20,#950
usa-A22_M5_Stuart_bootcamp,"64,4",20,#950
usa-A23_M7_med,60,20,#950
usa-A24_T2_med,40,17,#950
usa-A24_T2_med_bot,40,17,#950
usa-A25_M2_med,43,18,#950
usa-A25_M2_med_bootcamp,43,18,#950
usa-A26_T18,48,6,#950
usa-A27_T82,64,12,#950
usa-A29_T40,38,14,#950
usa-A30_M10_Wolverine,48,12,#950
usa-A31_M36_Slagger,42,11,#950
usa-A32_M12,"38,6",10,#950
usa-A33_MTLS-1G14,55,20,#950
usa-A34_M24_Chaffee,62,21,#950
usa-A35_Pershing,48,20,#950
usa-A35_Pershing_IGR,48,20,#950
usa-A36_Sherman_Jumbo,35,15,#950
usa-A36_Sherman_Jumbo_bootcamp,35,15,#950
usa-A36_Sherman_Jumbo_IGR,35,15,#950
usa-A37_M40M43,"38,6",10,#950
usa-A38_T92,"32,2",10,#950
usa-A39_T28,22,10,#950
usa-A40_T95,20,10,#950
usa-A41_M18_Hellcat,72,12,#950
usa-A43_M22_Locust,64,20,#950
usa-A44_M4A2E4,52,18,#950
usa-A45_M6A2E1,29,14,#950
usa-A46_T3,"72,4",7,#950
usa-A57_M8A1,58,20,#950
usa-A58_T67,61,17,#950
usa-A58_T67_IGR,61,20,#950
usa-A62_Ram-II,38,14,#950
usa-A63_M46_Patton,48,20,#950
usa-A63_M46_Patton_FL,48,20,#950
usa-A63_M46_Patton_KR,"48,3",20,#950
usa-A64_T25_AT,56,15,#950
usa-A66_M103,34,12,#950
usa-A67_T57_58,"35,4",12,#950
usa-A68_T28_Prototype,28,10,#950
usa-A69_T110E5,37,12,#950
usa-A69_T110E5_bob,37,12,#950
usa-A71_T21,57,21,#950
usa-A71_T21_MapsTraining_Dummy_LT_2,57,21,#950
usa-A72_T25_2,56,15,#950
usa-A72_T25_2_SH,50,20,#950
usa-A74_T1_E6,"48,3",20,#950
usa-A78_M4_Improved,56,25,#950
usa-A80_T26_E4_SuperPershing,"40,2",18,#950
usa-A80_T26_E4_SuperPershing_FL,"40,2",18,#950
usa-A81_T95_E2,56,21,#950
usa-A83_T110E4,35,10,#950
usa-A85_T110E3,24,8,#950
usa-A86_T23E3,"56,3",30,#950
usa-A87_M44,"56,3",14,#950
usa-A88_M53_55,"56,3",14,#950
usa-A89_T54E1,35,20,#950
usa-A90_T69,"51,5",20,#950
usa-A90_T69_IGR,"51,5",20,#950
usa-A92_M60,60,23,#950
usa-A93_T7_Combat_Car,56,20,#950
usa-A94_T37,65,22,#950
usa-A95_T95_E6,"56,3",20,#950
usa-A97_M41_Bulldog,68,24,#950
usa-A99_T92_LT,60,25,#950
ussr-Observer,32,8,#950
ussr-R01_IS,34,14,#950
ussr-R02_SU-85,55,14,#950
ussr-R03_BT-7,"65,4",20,#950
ussr-R03_BT-7_bootcamp,"65,4",20,#950
ussr-R04_T-34,56,20,#950
ussr-R04_T-34_MapsTraining_Player_MT_1,56,20,#950
ussr-R05_KV,34,10,#950
ussr-R06_T-28,45,20,#950
ussr-R06_T-28_bootcamp,45,20,#950
ussr-R07_T-34-85,54,20,#950
ussr-R07_T-34-85_bootcamp,54,20,#950
ussr-R07_T-34-85_training,54,20,#950
ussr-R08_BT-2,55,20,#950
ussr-R08_BT-2_bootcamp,55,20,#950
ussr-R09_T-26,36,15,#950
ussr-R09_T-26_bot,36,15,#950
ussr-R10_AT-1,30,8,#950
ussr-R100_SU122A,30,10,#950
ussr-R101_MT25,62,23,#950
ussr-R104_Object_430_II,55,20,#950
ussr-R105_BT_7A,"51,6",20,#950
ussr-R106_KV85,34,14,#950
ussr-R106_KV85_IGR,34,14,#950
ussr-R107_LTB,68,20,#950
ussr-R108_T34_85M,53,20,#950
ussr-R109_T54S,69,23,#950
ussr-R11_MS-1,32,8,#950
ussr-R11_MS-1_bot,32,8,#950
ussr-R110_Object_260,60,15,#950
ussr-R111_ISU130,38,14,#950
ussr-R112_T54_45,44,18,#950
ussr-R112_T54_45_FL,44,18,#950
ussr-R113_Object_730,42,14,#950
ussr-R114_Object_244,42,14,#950
ussr-R115_IS-3_auto,40,15,#950
ussr-R115_IS-3_auto_test,40,15,#950
ussr-R116_ISU122C_Berlin,43,12,#950
ussr-R117_T34_85_Rudy,54,20,#950
ussr-R118_T28_F30,35,20,#950
ussr-R119_Object_777,40,15,#950
ussr-R119_Object_777C,50,16,#950
ussr-R12_A-20,72,23,#950
ussr-R120_T22SR_A22,55,20,#950
ussr-R121_KV4_KTT,35,10,#950
ussr-R122_T44_100,52,23,#950
ussr-R122_T44_100B,52,23,#950
ussr-R123_Kirovets_1,42,20,#950
ussr-R125_T_45,41,15,#950
ussr-R126_Object_730_5,48,15,#950
ussr-R127_T44_100_K,52,23,#950
ussr-R127_T44_100_M,52,23,#950
ussr-R127_T44_100_P,52,23,#950
ussr-R127_T44_100_U,52,23,#950
ussr-R128_KV4_Kreslavskiy,40,16,#950
ussr-R129_Object_257,50,15,#950
ussr-R13_KV-1s,43,14,#950
ussr-R131_Tank_Gavalov,63,20,#950
ussr-R132_VNII_100LT,72,25,#950
ussr-R133_KV_122,42,14,#950
ussr-R134_Object_252K,35,14,#950
ussr-R134_Object_252U,35,14,#950
ussr-R135_T_103,40,12,#950
ussr-R139_IS_M,35,12,#950
ussr-R14_SU-5,30,8,#950
ussr-R14_SU-5_MapsTraining_Dummy_SPG_1,30,8,#950
ussr-R140_M4_Loza,"51,4",18,#950
ussr-R143_T_29,"44,6",20,#950
ussr-R144_K_91,55,20,#950
ussr-R145_Object_705_A,40,15,#950
ussr-R146_STG,50,20,#950
ussr-R146_STG_Tday,50,20,#950
ussr-R148_Object_430_U,50,18,#950
ussr-R149_Object_268_4,50,18,#950
ussr-R15_S-51,30,8,#950
ussr-R151_Object_257_2,50,15,#950
ussr-R152_KV2_W,35,11,#950
ussr-R153_Object_705,40,15,#950
ussr-R154_T_34E_1943,56,20,#950
ussr-R155_Object_277,55,15,#950
ussr-R155_Object_277_bob,55,15,#950
ussr-R156_IS_2M,34,14,#950
ussr-R157_Object_279R,40,13,#950
ussr-R158_LT_432,70,23,#950
ussr-R159_SU_130PM,65,20,#950
ussr-R16_SU-18,22,6,#950
ussr-R160_T_50_2,65,23,#950
ussr-R161_T_116,60,20,#950
ussr-R165_Object_703_II,38,15,#950
ussr-R165_Object_703_II_2,38,15,#950
ussr-R169_ST_II,40,13,#950
ussr-R17_SU-100,50,14,#950
ussr-R170_IS_2_II,34,12,#950
ussr-R171_IS_3_II,38,15,#950
ussr-R172_Object_752,40,12,#950
ussr-R173_K_91_2,55,23,#950
ussr-R174_BT-5,55,20,#950
ussr-R175_IS_2_screen,30,14,#950
ussr-R177_ISU_152K_BL10,40,12,#950
ussr-R178_Object_780,50,15,#950
ussr-R18_SU-152,43,11,#950
ussr-R18_SU-152_IGR,43,11,#950
ussr-R180_Object_274_A,58,15,#950
ussr-R183_K_91_PT,52,23,#950
ussr-R185_T_34_L_11_1941,54,20,#950
ussr-R19_IS-3,38,15,#950
ussr-R19_IS-3_IGR,38,15,#950
ussr-R20_T-44,51,23,#950
ussr-R20_T-44_FL,51,23,#950
ussr-R20_T-44_IGR,51,20,#950
ussr-R22_T-46,58,20,#950
ussr-R22_T-46_bootcamp,58,20,#950
ussr-R23_T-43,51,20,#950
ussr-R23_T-43_MapsTraining_Player_MT_2,51,20,#950
ussr-R24_SU-76,48,12,#950
ussr-R25_GAZ-74b,43,14,#950
ussr-R26_SU-8,48,12,#950
ussr-R27_SU-14,30,8,#950
ussr-R31_Valentine_LL,32,12,#950
ussr-R31_Valentine_LL_IGR,32,12,#950
ussr-R32_Matilda_II_LL,25,10,#950
ussr-R33_Churchill_LL,28,14,#950
ussr-R34_BT-SV,62,20,#950
ussr-R38_KV-220,33,10,#950
ussr-R38_KV-220_beta,33,10,#950
ussr-R39_KV-3,32,10,#950
ussr-R40_T-54,56,20,#950
ussr-R40_T-54_FL,56,20,#950
ussr-R41_T-50,60,23,#950
ussr-R42_T-60,45,15,#950
ussr-R43_T-70,45,18,#950
ussr-R43_T-70_bootcamp,45,18,#950
ussr-R44_T80,45,18,#950
ussr-R44_T80_MapsTraining_Dummy_LT_1,45,18,#950
ussr-R45_IS-7,"59,6",15,#950
ussr-R45_IS-7_fallout,"59,6",15,#950
ussr-R45_IS-7_IGR,"59,6",15,#950
ussr-R46_KV-13,50,20,#950
ussr-R46_KV-13_SH,49,20,#950
ussr-R47_ISU-152,43,12,#950
ussr-R47_ISU-152_IGR,43,12,#950
ussr-R49_SU100Y,35,12,#950
ussr-R50_SU76I,50,14,#950
ussr-R50_SU76I_bootcamp,50,14,#950
ussr-R51_Object_212,35,10,#950
ussr-R52_Object_261,50,12,#950
ussr-R53_Object_704,37,13,#950
ussr-R54_KV-5,40,14,#950
ussr-R54_KV-5_IGR,40,11,#950
ussr-R56_T-127,38,15,#950
ussr-R57_A43,55,20,#950
ussr-R58_SU-101,54,18,#950
ussr-R59_A44,59,20,#950
ussr-R60_Object416,50,20,#950
ussr-R61_Object252,35,14,#950
ussr-R61_Object252_BF,35,14,#950
ussr-R61_Object252_FL,35,14,#950
ussr-R63_ST_I,40,13,#950
ussr-R66_SU-26,30,8,#950
ussr-R67_M3_LL,61,20,#950
ussr-R68_A-32,70,20,#950
ussr-R70_T_50_2,72,23,#950
ussr-R71_IS_2B,34,14,#950
ussr-R72_T150,35,11,#950
ussr-R72_T150_MapsTraining_Dummy_HT_2,35,11,#950
ussr-R73_KV4,30,11,#950
ussr-R74_SU100M1,54,16,#950
ussr-R75_SU122_54,55,16,#950
ussr-R77_KV2,35,11,#950
ussr-R77_KV2_IGR,35,11,#950
ussr-R78_SU_85I,50,14,#950
ussr-R80_KV1,34,10,#950
ussr-R81_IS8,50,15,#950
ussr-R84_Tetrarch_LL,64,20,#950
ussr-R86_LTP,"45,1",18,#950
ussr-R86_LTP_bootcamp,"45,1",18,#950
ussr-R87_T62A,50,20,#950
ussr-R87_T62A_fallout,50,20,#950
ussr-R88_Object268,48,15,#950
ussr-R89_SU122_44,"47,5",13,#950
ussr-R90_IS_4M,43,14,#950
ussr-R91_SU14_1,30,8,#950
ussr-R93_Object263,55,20,#950
ussr-R93_Object263B,55,20,#950
ussr-R95_Object_907,55,20,#950
ussr-R95_Object_907A,55,20,#950
ussr-R96_Object_430,50,18,#950
ussr-R96_Object_430B,55,20,#950
ussr-R97_Object_140,55,20,#950
ussr-R98_T44_85,"51,6",20,#950
ussr-R98_T44_85M,68,24,#950
ussr-R99_T44_122,"52,6",20,#950
